KP,DP
1.4360597967147827e-08,1.416672693824768e-13
1.4460951843261717e-08,1.42528528842926e-13
1.4568584505081176e-08,1.4346122329711914e-13
1.4698150701522827e-08,1.445992671585083e-13
1.4788847801208495e-08,1.4536708377838134e-13
1.491021869468689e-08,1.4642382246017455e-13
1.5005690830230715e-08,1.4723108171463012e-13
1.5109363985061648e-08,1.4811827423095702e-13
1.5227335571289063e-08,1.4914328731536865e-13
1.532483319091797e-08,1.4997268779754637e-13
1.542413335800171e-08,1.5081916103363037e-13
1.5523799369812013e-08,1.5167338941574097e-13
1.563282681465149e-08,1.5262363298416137e-13
1.5724840574264527e-08,1.5341235229492188e-13
1.580023507499695e-08,1.5404046195983887e-13
1.589730206489563e-08,1.5488123792648315e-13
1.598365475845337e-08,1.556266656112671e-13
1.6069096651077272e-08,1.5637228384017944e-13
1.614005909538269e-08,1.5698389238357543e-13
1.6218258405685424e-08,1.576769966506958e-13
1.6287041025161744e-08,1.5829300676345825e-13
1.6349470903396608e-08,1.5886837381362914e-13
1.6387343454360963e-08,1.592122678565979e-13
1.6431235294342042e-08,1.596238812828064e-13
1.646790551185608e-08,1.599909073829651e-13
1.647933434867859e-08,1.6011093112945556e-13
1.6501652782440186e-08,1.6035015928268433e-13
1.651174781036377e-08,1.6048365449905396e-13
1.6516477115631105e-08,1.6057162872314453e-13
1.651963443183899e-08,1.606683108139038e-13
1.6506498319625853e-08,1.606205795097351e-13
1.6489995292663574e-08,1.6054342819213868e-13
1.64805252494812e-08,1.605624063873291e-13
1.6470538831710817e-08,1.606159302330017e-13
1.648859860420227e-08,1.6096921810150145e-13
1.6515190942764284e-08,1.61589915599823e-13
1.639788245010376e-08,1.611729669380188e-13
1.63207101726532e-08,1.6077457727432251e-13
1.5860405099868776e-08,1.5824167417526246e-13
1.4555839008331298e-08,1.4628144788742064e-13
1.4128187482833861e-08,1.4234070949554442e-13
1.4020756797790527e-08,1.413731835746765e-13
1.3912262876510619e-08,1.404286372756958e-13
1.379640061378479e-08,1.394711530303955e-13
1.3660824655532836e-08,1.3839970434188843e-13
1.3418031421661375e-08,1.3625972229003907e-13
1.3148243801116942e-08,1.3379634874343872e-13
1.3102555130004882e-08,1.337337931060791e-13
1.1300045783996581e-08,1.1556786848068237e-13
1.2823442279815673e-08,1.3250365926742553e-13
1.112083331489563e-08,1.1555409214019774e-13
9.076605403900146e-09,9.449709861755372e-14
7.746146747112273e-09,8.033932689666749e-14
7.521654324054717e-09,7.758210095882416e-14
7.643616857051849e-09,7.860629470348359e-14
7.50659276342392e-09,7.712971108913422e-14
7.279905272006989e-09,7.47148977136612e-14
6.823493015766144e-09,6.999339522838594e-14
6.427224108219147e-09,6.580904616832734e-14
5.907196789264679e-09,6.037951981067658e-14
5.337083993434906e-09,5.4416974835395815e-14
4.941415299892425e-09,5.017905429363251e-14
4.406903769016266e-09,4.458130605220795e-14
4.0787858271598815e-09,4.1042206101417543e-14
3.5298739237785338e-09,3.533636217594147e-14
3.1896897749900816e-09,3.1703362078666687e-14
2.7641842527389526e-09,2.7260196928977967e-14
2.374189963340759e-09,2.3179794454574588e-14
2.051738803863525e-09,1.979272013664246e-14
4.0541913437843325e-09,3.964690861225128e-14
