KP,DP
9.514597759246825e-09,9.596853754043579e-14
9.439643415451048e-09,9.5230922164917e-14
9.391866380691528e-09,9.477535020828248e-14
9.308930143356323e-09,9.395806833267213e-14
9.248342826843261e-09,9.337300258636475e-14
9.171656436920165e-09,9.262728908538819e-14
9.093550493240355e-09,9.187197216033936e-14
9.002895313262939e-09,9.099078178405763e-14
8.89334768295288e-09,8.990740503311158e-14
8.814531009674072e-09,8.915041131973267e-14
8.696342203140258e-09,8.798664400100709e-14
8.589159225463866e-09,8.693937536239625e-14
8.457392244338989e-09,8.562866041183472e-14
8.362413618087768e-09,8.47150584793091e-14
8.208474922180175e-09,8.318556076049805e-14
8.083900981903075e-09,8.196779323577881e-14
7.922522014141082e-09,8.036657470703125e-14
7.769883781909943e-09,7.885646008968354e-14
7.609313197612761e-09,7.726980865955353e-14
7.4261145453453065e-09,7.544960729122162e-14
7.235431319713593e-09,7.354919637203217e-14
7.052557545185089e-09,7.173701691150666e-14
6.835446801662445e-09,6.957196877956391e-14
6.613946874141693e-09,6.736255244731904e-14
6.39801274061203e-09,6.521792111873628e-14
6.142349203586578e-09,6.266617320537567e-14
5.908108542919159e-09,6.034412623882294e-14
5.6540808272361755e-09,5.782006438732148e-14
5.323776391506195e-09,5.449121082782745e-14
4.918105083942414e-09,5.033038444042206e-14
4.396805882930756e-09,4.49693301153183e-14
4.0910082802772524e-09,4.179734200954437e-14
3.621252218723297e-09,3.6969068121910094e-14
3.4594154686927795e-09,3.5324129242897034e-14
3.3049261002540587e-09,3.3734343361854554e-14
2.997834226608276e-09,3.057052959918976e-14
2.8027808713912963e-09,2.8566767544746396e-14
2.620586386680603e-09,2.6702922043800356e-14
2.4758547830581662e-09,2.5248412966728212e-14
4.300878763198853e-11,3.4723100662231446e-17
3.632262811183929e-09,3.750108638286591e-14
3.0716605491638183e-09,3.1575888056755063e-14
2.071658763408661e-09,2.1125704932212833e-14
1.6571071467399598e-09,1.671847640514374e-14
1.3945492467880249e-09,1.3835138835906983e-14
8.737749948501587e-10,8.420775027275085e-15
3.693251347541809e-10,2.9902721309661866e-15
2.9128302335739134e-10,1.6939766073226928e-15
5.14072934627533e-10,3.604429202079773e-15
1.3806943068504334e-09,1.1928154144287109e-14
