% Model,NMCtrain.mph
% Version,COMSOL 6.1.0.252
% Date,"Jul 16 2024, 22:40"
% Dimension,1
% Nodes,728
% Expressions,1
% Description,全局
% 时间 (s),边界电位
2130,3.8098914098154677
2140,3.808895337234979
2150,3.807899264654491
2160,3.806903192074002
2170,3.8059071194935137
2180,3.8049110469130256
2190,3.803914974332537
2200,3.802918901752048
2210,3.8019225304545596
2220,3.8008212497123357
2230,3.799719968970112
2240,3.7986186882278887
2250,3.797517407485665
2260,3.7964161267434413
2270,3.7953148460012183
2280,3.7942135652589943
2290,3.793112284516771
2300,3.7918310967145303
2310,3.7905264514101926
2320,3.7892218061058545
2330,3.787917160801517
2340,3.7866125154971795
2350,3.7853078701928418
2360,3.7840032248885036
2370,3.7825909684568657
2380,3.78110023656487
2390,3.779609504672874
2400,3.778118772780877
2410,3.7766280408888813
2420,3.7751373089968854
2430,3.773646577104889
2440,3.772118160345038
2450,3.770488839125744
2460,3.7688595179064497
2470,3.767230196687156
2480,3.765600875467862
2490,3.763971554248567
2500,3.7623422330292735
2510,3.7607129118099794
2520,3.758933902392094
2530,3.757149552198547
2540,3.7553652020050006
2550,3.7535808518114537
2560,3.751796501617907
2570,3.7500121514243605
2580,3.7482278012308137
2590,3.7464175768311256
2600,3.744593974652998
2610,3.7427703724748698
2620,3.7409467702967416
2630,3.7391231681186134
2640,3.7372995659404857
2650,3.73563701311997
2660,3.7340028976506914
2670,3.732368782181413
2680,3.730781798268133
2690,3.7293401331407545
2700,3.727898468013376
2710,3.7264568028859975
2720,3.725051907205687
2730,3.723667705063381
2740,3.7222835029210746
2750,3.7209030380201797
2760,3.7196260470551263
2770,3.718349056090073
2780,3.7170720651250195
2790,3.7157950741599666
2800,3.714518083194913
2810,3.71324109222986
2820,3.7119641012648072
2830,3.7107608223616073
2840,3.7095731993951677
2850,3.708385576428728
2860,3.7071979534622876
2870,3.7060103304958485
2880,3.704822707529409
2890,3.7036350845629693
2900,3.702494836807073
2910,3.7013842753701742
2920,3.7002737139332758
2930,3.6991631524963773
2940,3.6980525910594784
2950,3.69694202962258
2960,3.695831468185682
2970,3.6947032639794486
2980,3.6935410692762356
2990,3.6923674253189107
3000,3.6911823321074735
3010,3.689985789641925
3020,3.688777797922264
3030,3.6875583569484913
3040,3.6863012059610787
3050,3.6849308162723027
3060,3.683560426583527
3070,3.682190036894751
3080,3.6808196472059755
3090,3.679449257517199
3100,3.6780788678284235
3110,3.6767084781396475
3120,3.675338088450872
3130,3.673967698762096
3140,3.6725973090733204
3150,3.671226919384544
3160,3.6698565296957684
3170,3.6684861400069924
3180,3.667115750318217
3190,3.6658824432694974
3200,3.664689026597806
3210,3.663495609926115
3220,3.6623021932544244
3230,3.6611087765827333
3240,3.6599153599110426
3250,3.658721943239351
3260,3.6575285265676603
3270,3.656335109895969
3280,3.6551416932242784
3290,3.6539482765525877
3300,3.652754859880896
3310,3.6515466128750784
3320,3.6503371418571837
3330,3.6491276708392895
3340,3.647918199821395
3350,3.6467087288035005
3360,3.6454992577856062
3370,3.6442897867677115
3380,3.6430803157498173
3390,3.641870844731923
3400,3.6406613737140283
3410,3.639451902696133
3420,3.6382385794183785
3430,3.6369762799285206
3440,3.6357139804386627
3450,3.6344516809488048
3460,3.633189381458947
3470,3.631927081969089
3480,3.630664782479231
3490,3.6294024829893727
3500,3.6281401834995157
3510,3.626877884009658
3520,3.6256155845198
3530,3.624353285029942
3540,3.6231291134253802
3550,3.6220384976899798
3560,3.6209478819545784
3570,3.619857266219178
3580,3.6187666504837774
3590,3.617676034748376
3600,3.6165854190129756
3610,3.615494803277575
3620,3.6144041875421737
3630,3.6133135718067733
3640,3.6122229560713723
3650,3.611132340335972
3660,3.6101096751952437
3670,3.6092020943156435
3680,3.6082945134360433
3690,3.607386932556443
3700,3.6064793516768425
3710,3.605571770797243
3720,3.604664189917642
3730,3.6037566090380424
3740,3.6028490281584418
3750,3.601941447278841
3760,3.6010338663992414
3770,3.6001262855196408
3780,3.5992206425499043
3790,3.5983167855129445
3800,3.597412928475985
3810,3.5965090714390247
3820,3.595605214402065
3830,3.594701357365105
3840,3.593797500328146
3850,3.5928936432911853
3860,3.591989786254226
3870,3.5910859292172663
3880,3.5901820721803066
3890,3.5892782151433464
3900,3.588363139874531
3910,3.5874425284021654
3920,3.5865219169298
3930,3.585601305457435
3940,3.5846806939850695
3950,3.5837600825127045
3960,3.582839471040339
3970,3.581918859567974
3980,3.5809982480956086
3990,3.5800776366232436
4000,3.579157025150878
4010,3.5782364136785128
4020,3.577402604991377
4030,3.576588014801369
4040,3.5757734246113615
4050,3.5749588344213543
4060,3.5741442442313467
4070,3.573329654041339
4080,3.572515063851331
4090,3.571700473661324
4100,3.570885883471316
4110,3.5700712932813086
4120,3.5692567030913005
4130,3.5684421129012938
4140,3.5676275227112857
4150,3.566812932521278
4160,3.5659983423312704
4170,3.5651837521412633
4180,3.564369161951255
4190,3.5635545717612476
4200,3.56273998157124
4210,3.5619253913812328
4220,3.561110801191225
4230,3.560296211001217
4240,3.5594816208112094
4250,3.5586822872754964
4260,3.557998036032077
4270,3.5573137847886573
4280,3.5566295335452387
4290,3.5559452823018196
4300,3.5552610310584
4310,3.5545767798149805
4320,3.553892528571562
4330,3.5532082773281424
4340,3.5525240260847233
4350,3.5518397748413038
4360,3.551155523597885
4370,3.5504712723544656
4380,3.5497870211110465
4390,3.5491027698676274
4400,3.5484185186242083
4410,3.547734267380789
4420,3.5470500161373693
4430,3.5463657648939506
4440,3.5456815136505315
4450,3.544997262407112
4460,3.5443130111636925
4470,3.543628759920274
4480,3.5429445086768543
4490,3.542265480297036
4500,3.5415938028278147
4510,3.5409221253585934
4520,3.540250447889372
4530,3.5395787704201505
4540,3.5389070929509296
4550,3.5382354154817084
4560,3.5375637380124867
4570,3.536892060543266
4580,3.536220383074044
4590,3.5355487056048234
4600,3.5348770281356017
4610,3.5342053506663804
4620,3.5335336731971587
4630,3.532861995727938
4640,3.5321903182587167
4650,3.5315186407894954
4660,3.530846963320274
4670,3.5301752858510524
4680,3.5293489093807677
4690,3.5284808525677165
4700,3.5276127957546644
4710,3.526744738941613
4720,3.525876682128561
4730,3.5250086253155097
4740,3.5241405685024576
4750,3.5232725116894064
4760,3.5224044548763547
4770,3.5215363980633025
4780,3.5206683412502513
4790,3.519800284437199
4800,3.518932227624148
4810,3.5180195486683523
4820,3.5170137873256997
4830,3.516008025983047
4840,3.5150022646403944
4850,3.5139965032977414
4860,3.5129907419550896
4870,3.5119849806124366
4880,3.510979219269784
4890,3.5099734579271313
4900,3.5089676965844787
4910,3.5079619352418265
4920,3.506947822623163
4930,3.505910771968365
4940,3.504873721313567
4950,3.5038366706587687
4960,3.5027996200039713
4970,3.501762569349173
4980,3.500725518694375
4990,3.499688468039577
5000,3.4986514173847794
5010,3.4975869689555164
5020,3.496497596138475
5030,3.4954082233214345
5040,3.494318850504394
5050,3.4932294776873527
5060,3.4921401048703125
5070,3.4910507320532718
5080,3.489961359236231
5090,3.48887198641919
5100,3.4876875744392186
5110,3.4864764138735413
5120,3.4852652533078645
5130,3.4840540927421872
5140,3.48284293217651
5150,3.4816317716108327
5160,3.480420611045156
5170,3.4792094504794786
5180,3.4779427874541247
5190,3.4766707305436526
5200,3.4753986736331806
5210,3.4741266167227085
5220,3.472854559812236
5230,3.4715825029017635
5240,3.4702723914227045
5250,3.468923756507229
5260,3.467575121591753
5270,3.466226486676277
5280,3.4648778517608005
5290,3.4635292168453247
5300,3.462174458839181
5310,3.460751561535032
5320,3.459328664230882
5330,3.457905766926732
5340,3.456482869622582
5350,3.455059972318433
5360,3.4536143406111517
5370,3.4521179676884732
5380,3.4506215947657948
5390,3.4491252218431163
5400,3.447628848920438
5410,3.446132475997759
5420,3.4445732869383128
5430,3.4429598019673766
5440,3.4413463169964404
5450,3.4397328320255043
5460,3.438119347054568
5470,3.436505862083632
5480,3.4348778544001117
5490,3.433240211667796
5500,3.4315967475881997
5510,3.4299474621613246
5520,3.428292355387169
5530,3.426631427265734
5540,3.4250002921806413
5550,3.4233694776834613
5560,3.421738663186282
5570,3.420107848689102
5580,3.4184770341919224
5590,3.416846219694743
5600,3.415215405197563
5610,3.4135845907003834
5620,3.4119537762032035
5630,3.410322961706024
5640,3.4086921472088436
5650,3.407065814888593
5660,3.4054450902730573
5670,3.403824365657522
5680,3.4022036410419867
5690,3.400582916426451
5700,3.3989621918109147
5710,3.397341467195379
5720,3.395720742579844
5730,3.3941000179643086
5740,3.392479293348773
5750,3.3908548619175534
5760,3.3891638749333546
5770,3.387472887949155
5780,3.3857819009649552
5790,3.3840909139807556
5800,3.3823999269965563
5810,3.380708940012357
5820,3.3790179530281574
5830,3.377326966043958
5840,3.3756359790597585
5850,3.373944992075559
5860,3.3722843210913687
5870,3.3706391779328357
5880,3.3689940347743024
5890,3.3673488916157694
5900,3.365703748457236
5910,3.3640586052987036
5920,3.362463172866321
5930,3.360962528358431
5940,3.3594618838505412
5950,3.3579612393426514
5960,3.3564605948347617
5970,3.354959950326872
5980,3.353465646627237
5990,3.3522019925845865
6000,3.3509383385419365
6010,3.3496746844992855
6020,3.348411030456635
6030,3.347147376413985
6040,3.3459966607809433
6050,3.3449681626479792
6060,3.343939664515016
6070,3.342911166382052
6080,3.3418826682490885
6090,3.3408928820533017
6100,3.339910477307141
6110,3.3389280725609805
6120,3.3379456678148194
6130,3.3369599967323067
6140,3.3359612150454234
6150,3.33496243335854
6160,3.333963651671657
6170,3.332964869984774
6180,3.3319660882978908
6190,3.3309673066110075
6200,3.329968524924125
6210,3.328969743237242
6220,3.3279709615503585
6230,3.326817928232578
6240,3.325651230626706
6250,3.3244845330208337
6260,3.3233178354149606
6270,3.3221511378090884
6280,3.3209844402032163
6290,3.319817742597344
6300,3.3184772744822864
6310,3.317100099766145
6320,3.315722925050004
6330,3.314345750333863
6340,3.3129685756177216
6350,3.311491670299279
6360,3.3096277705272725
6370,3.307763870755267
6380,3.305788085104805
6390,3.3037501928237223
6400,3.3017007581531668
6410,3.299520715831809
6420,3.297340673510452
6430,3.2950980479604475
6440,3.2927380813640856
6450,3.290299896105195
6460,3.2876286985680885
6470,3.2847824912532375
6480,3.281822198325156
6490,3.27884416330413
6500,3.2757917632628653
6510,3.2727797681358406
6520,3.269790621778545
6530,3.2668160531398445
6540,3.2638649951575056
6550,3.2609139371751668
6560,3.257962879192828
6570,3.255011821210489
6580,3.2520775480865196
6590,3.2492397182510815
6600,3.246401888415644
6610,3.243564058580206
6620,3.240726228744768
6630,3.2378886975000527
6640,3.2350630368618494
6650,3.2322373762236465
6660,3.2294117155854427
6670,3.22658605494724
6680,3.2237603943090365
6690,3.2208725768007636
6700,3.2179779169071514
6710,3.2150832570135393
6720,3.211977939366818
6730,3.2087854064491417
6740,3.2054383017481887
6750,3.201801179203052
6760,3.198164056657916
6770,3.1938321574872894
6780,3.1894919188918625
6790,3.185127796231518
6800,3.1807288540058773
6810,3.1762161690937725
6820,3.1714542929132343
6830,3.1664066249934564
6840,3.1609149811958623
6850,3.1549734801921177
6860,3.148606914262325
6870,3.142224030819116
6880,3.1358275132987683
6890,3.129407704820228
6900,3.122987896341688
6910,3.1163653526074255
6920,3.1091724930663136
6930,3.1019796335252003
6940,3.093826904423108
6950,3.080983985497458
6960,3.066985973858786
6970,3.053034861577916
6980,3.039897844638092
6990,3.0267733975350217
7000,3.0134220460882513
7010,2.999859537620229
7020,2.985140389152939
7030,2.9699460227367567
7040,2.953687458152328
7050,2.931074086175408
7060,2.901891700725751
7070,2.872674067641331
7080,2.8429672210223593
7090,2.811902310744789
7100,2.776875527298928
7110,2.7320126219981864
7120,2.6541382384962913
7130,2.539104718885323
7140,2.517641632913602
7150,2.5216437749687994
7160,2.5259306604865763
7170,2.528679374610997
7180,2.5286237621486234
7190,2.5261994576778704
7200,2.5235821661643123
7210,2.520890614217391
7220,2.5181047395635816
7230,2.515075106540869
7240,2.512045388443987
7250,2.5088147359913044
7260,2.5053184655754595
7270,2.5018221951596136
